Portfolio,Alpha (% pm),Alpha (% pa),t-stat (NW),p-value,Adj R²,N months,β Mkt-RF,β SMB,β HML,β RMW,β CMA
P1,0.5943,7.132,1.757,0.0789,0.1288,132,0.3465,0.3451,-0.4781,-0.2429,0.3272
P2,0.3619,4.343,1.165,0.2438,0.4423,132,0.815,0.2744,-0.4574,-0.6736,0.0386
P3,1.4408,17.289,1.763,0.0779,0.2147,132,0.5961,0.6282,0.7373,0.4931,-1.2659
P4,0.2014,2.417,0.258,0.7968,0.2095,132,0.7302,1.3995,-0.8957,-0.0339,1.3903
P5,2.5712,30.854,3.091,0.002,0.0343,132,0.3939,1.1314,0.5143,1.0383,-0.0507
HML,1.9768,23.722,2.204,0.0275,0.0133,132,0.0474,0.7863,0.9924,1.2812,-0.3779
