,P1,P2,P3,P4,P5,HML
2015-01-31,0.04650802357297297,0.06250433988227848,0.05261508610000001,0.0655330833539823,0.04443812155638888,-0.0020699020165840867
2015-02-28,0.07700886358993288,0.05620256474556962,0.09389134554186046,0.0717588356368421,0.041863931031481484,-0.03514493255845139
2015-03-31,0.09839804951912752,0.10352974243670886,0.06747720282116278,0.11260660142307692,0.06362090045185186,-0.034777149067275664
2015-04-30,0.07926308351744966,0.10189122407377357,0.06099888672015504,0.0998430830440678,0.09145392244862384,0.012190838931174175
2015-05-31,0.09679404713020133,0.14039387972521417,0.13114941938276892,0.1282993374826191,0.06238900344545455,-0.03440504368474678
2015-06-30,-0.03181601423333334,-0.03816554001863354,-0.026530344923880594,-0.04894207321983607,-0.02804499857590909,0.003771015657424253
2015-07-31,-0.014182985549006618,-0.024325058195061727,-0.0039967561556934275,-0.019647209517073168,-0.0005976368818181814,0.013585348667188437
2015-08-31,-0.08312320790111112,-0.08337246051111111,-0.08170844826956522,-0.10948376304112903,-0.057039727078468466,0.026083480822642655
2015-09-30,-0.0037513886449673213,-0.012842151088580245,-0.016005921426811596,-0.00679829966512,0.015009765687927926,0.018761154332895248
2015-10-31,0.1222371073869281,0.11007931331666666,0.1087924458115942,0.10003100356240001,0.06504523605855855,-0.057191871328369545
2015-11-30,0.05486102910888889,0.061366790680123455,0.09167706859784172,0.0809597986392,0.026046915047747747,-0.028814114061141143
2015-12-31,0.011706871853246753,0.016862551670987654,-0.007748890161276595,0.02103396736096,0.015067766944247786,0.0033608950910010323
2016-01-31,-0.116769776409698,-0.12514536838294643,-0.11390409874841471,-0.11801255262043506,-0.09285314911943744,0.02391662729026056
2016-02-29,-0.0029639754365384605,-0.0037172632797546046,0.0013651819421830987,-0.0157162819484375,-0.004654272447521368,-0.0016902970109829076
2016-03-31,0.10945472523461539,0.11336233498711658,0.10105648621971831,0.1257317261105469,0.08904604081025641,-0.020408684424358975
2016-04-30,0.004023658146923077,0.012414352893939395,0.04051763634223776,0.008055249085271318,0.03158976558739496,0.02756610744047188
2016-05-31,0.005281139875641027,0.020015836434545454,0.024947685339440556,0.02164450023806202,0.009638944007563025,0.0043578041319219975
2016-06-30,-0.001639713825350318,0.0544842518670303,0.016977852054125876,0.022458346611162788,0.011819141019999998,0.013458854845350317
2016-07-31,0.03506537673566879,0.01556219542121212,0.04075371021958043,0.042167678006976746,0.026923688050819673,-0.00814168868484912
2016-08-31,0.0374395806021656,0.058744339235542176,0.03877778777805555,0.023223304606846153,0.04306579291821139,0.005626212316045785
2016-09-30,0.0038016385955696222,0.0050179130998795176,0.003914076352413793,0.02432138974097744,0.006354755664227644,0.002553117068658022
2016-10-31,0.004893563286150001,0.01646080366736527,0.011719213726551724,0.01874586518358209,0.023864220632822578,0.018970657346672574
2016-11-30,0.02179414494751553,0.008021845608443115,0.016596749336986304,0.016066594709629633,0.013080361594846905,-0.008713783352668624
2016-12-31,-0.00891864188900621,-0.023638749834319524,-0.005866688155167784,-0.021672057246715327,-0.007654755405039367,0.0012638864839668437
2017-01-31,0.017690073123926384,-0.005627657952906978,-0.0028054273938255053,0.015361732107913669,0.13371369800168378,0.1160236248777574
2017-02-28,0.039366904370184044,0.04103226109712644,0.07268892754379085,0.04979710387622378,0.07307569353555556,0.03370878916537151
2017-03-31,0.019341102455731708,0.018763268513218388,0.01685984957272727,0.023187916851586207,0.027114687453284676,0.007773584997552967
2017-04-30,0.02678969175421687,0.009200669880113636,0.00911857062165605,-0.014465516055342464,0.015272894580714286,-0.011516797173502584
2017-05-31,-0.004365030264156626,-0.004817221153672315,-0.0027969780167295603,-0.009265013937748345,-0.0020639993943661955,0.0023010308697904306
2017-06-30,0.02384510470359281,0.03334822584395604,0.03607184939302469,0.03698656553815789,0.025947610087241377,0.0021025053836485653
2017-07-31,0.01162306780239521,-0.005230147576972974,0.01036951221779141,0.01214928403006536,0.040713664307210885,0.029090596504815675
2017-08-31,0.018273123750588233,0.046859671568449196,0.04895438348041916,0.026505338558333334,0.024707148699324322,0.00643402494873609
2017-09-30,0.022002798087647057,0.04637864733457446,0.04218780952130178,0.04289617527848102,0.02389686796081081,0.0018940698731637548
2017-10-31,0.02735883239882353,0.025615520445691483,0.024378823056804735,0.02335658513913044,0.05484981700635761,0.02749098460753408
2017-11-30,-0.000812538935263159,0.0005319356114736858,0.001556915462982456,-0.002465527807878788,0.005098043354605261,0.00591058228986842
2017-12-31,0.02369929909709302,0.02230385719947644,0.019675296406011563,0.020274165844311378,0.027685277889973853,0.003985978792880832
2018-01-31,0.03111462345735632,0.004463783969427083,0.019002343661849712,-0.0004536351041666682,0.016009821265096775,-0.015104802192259546
2018-02-28,-0.020971456179310347,-0.012534013735937502,-0.00710546294797688,-0.01377341564556213,-0.02902070291516129,-0.008049246735850942
2018-03-31,0.02497498326285714,0.031005318484375,0.021395274809195404,0.043963847242941174,0.03277352604314103,0.007798542780283888
2018-04-30,0.0009030985123595522,0.001263020823958333,-0.006190342480170455,0.0167559498994152,0.0035070190703821655,0.0026039205580226134
2018-05-31,0.0228146950247191,0.01780472091709845,0.022556554517613635,0.026282561151453495,0.025647411528662418,0.0028327165039433166
